date,color_unscaled,color_monthly,isPartial,scale,color
2020-01-01,82,82,False,0.82,67.24
2020-01-02,86,86,False,0.86,73.96
2020-01-03,90,90,False,0.9,81.0
2020-01-04,91,91,False,0.91,82.81
2020-01-05,91,91,False,0.91,82.81
2020-01-06,85,85,False,0.85,72.25
2020-01-07,91,91,False,0.91,82.81
2020-01-08,89,89,False,0.89,79.21000000000001
2020-01-09,92,92,False,0.92,84.64
2020-01-10,90,90,False,0.9,81.0
2020-01-11,89,89,False,0.89,79.21000000000001
2020-01-12,87,87,False,0.87,75.69
2020-01-13,91,91,False,0.91,82.81
2020-01-14,90,90,False,0.9,81.0
2020-01-15,95,95,False,0.95,90.25
2020-01-16,94,94,False,0.94,88.36
2020-01-17,87,87,False,0.87,75.69
2020-01-18,93,93,False,0.93,86.49000000000001
2020-01-19,86,86,False,0.86,73.96
2020-01-20,93,93,False,0.93,86.49000000000001
2020-01-21,96,96,False,0.96,92.16
2020-01-22,100,100,False,1.0,100.0
2020-01-23,100,100,False,1.0,100.0
2020-01-24,96,96,False,0.96,92.16
2020-01-25,96,96,False,0.96,92.16
2020-01-26,89,89,False,0.89,79.21000000000001
2020-01-27,88,88,False,0.88,77.44
2020-01-28,93,93,False,0.93,86.49000000000001
2020-01-29,99,99,False,0.99,98.01
2020-01-30,100,100,False,1.0,100.0
2020-01-31,94,94,False,0.94,88.36
