date,portfolio_unscaled,portfolio_monthly,isPartial,scale,portfolio
2020-01-01,47,47,False,0.47,22.09
2020-01-02,85,85,False,0.85,72.25
2020-01-03,83,83,False,0.83,68.89
2020-01-04,58,58,False,0.58,33.64
2020-01-05,51,51,False,0.51,26.01
2020-01-06,86,86,False,0.86,73.96
2020-01-07,83,83,False,0.83,68.89
2020-01-08,95,95,False,0.95,90.25
2020-01-09,88,88,False,0.88,77.44
2020-01-10,90,90,False,0.9,81.0
2020-01-11,60,60,False,0.6,36.0
2020-01-12,56,56,False,0.56,31.360000000000003
2020-01-13,85,85,False,0.85,72.25
2020-01-14,91,91,False,0.91,82.81
2020-01-15,89,89,False,0.89,79.21000000000001
2020-01-16,100,100,False,1.0,100.0
2020-01-17,85,85,False,0.85,72.25
2020-01-18,66,66,False,0.66,43.56
2020-01-19,58,58,False,0.58,33.64
2020-01-20,70,70,False,0.7,49.0
2020-01-21,96,96,False,0.96,92.16
2020-01-22,98,98,False,0.98,96.03999999999999
2020-01-23,94,94,False,0.94,88.36
2020-01-24,87,87,False,0.87,75.69
2020-01-25,56,56,False,0.56,31.360000000000003
2020-01-26,54,54,False,0.54,29.160000000000004
2020-01-27,84,84,False,0.84,70.56
2020-01-28,95,95,False,0.95,90.25
2020-01-29,84,84,False,0.84,70.56
2020-01-30,92,92,False,0.92,84.64
2020-01-31,93,93,False,0.93,86.49000000000001
