date,restaurant_unscaled,restaurant_monthly,isPartial,scale,restaurant
2020-01-01,93,93,False,0.93,86.49000000000001
2020-01-02,66,66,False,0.66,43.56
2020-01-03,74,74,False,0.74,54.76
2020-01-04,86,86,False,0.86,73.96
2020-01-05,76,76,False,0.76,57.76
2020-01-06,57,57,False,0.57,32.489999999999995
2020-01-07,58,58,False,0.58,33.64
2020-01-08,61,61,False,0.61,37.21
2020-01-09,60,60,False,0.6,36.0
2020-01-10,72,72,False,0.72,51.839999999999996
2020-01-11,94,94,False,0.94,88.36
2020-01-12,83,83,False,0.83,68.89
2020-01-13,61,61,False,0.61,37.21
2020-01-14,61,61,False,0.61,37.21
2020-01-15,65,65,False,0.65,42.25
2020-01-16,62,62,False,0.62,38.44
2020-01-17,78,78,False,0.78,60.84
2020-01-18,100,100,False,1.0,100.0
2020-01-19,90,90,False,0.9,81.0
2020-01-20,70,70,False,0.7,49.0
2020-01-21,60,60,False,0.6,36.0
2020-01-22,62,62,False,0.62,38.44
2020-01-23,64,64,False,0.64,40.96
2020-01-24,81,81,False,0.81,65.61
2020-01-25,99,99,False,0.99,98.01
2020-01-26,81,81,False,0.81,65.61
2020-01-27,57,57,False,0.57,32.489999999999995
2020-01-28,59,59,False,0.59,34.809999999999995
2020-01-29,61,61,False,0.61,37.21
2020-01-30,62,62,False,0.62,38.44
2020-01-31,73,73,False,0.73,53.29
